user_id,experiment_id,variant,assigned_at,hash_bucket,signup_timestamp,country,platform,user_segment,day_7_retained,sessions_first_7_days,crashes_first_7_days,revenue_first_7_days,load_time_p95_first_7_days
1,exp_onboarding_checklist_001,control,2026-01-01 00:00:00,0.3939322480822458,2026-01-01 00:00:00,IN,ios,medium_intent,1,4.0,0.0,0.0,1144.33
2,exp_onboarding_checklist_001,control,2026-01-01 00:15:00,0.25033621733432015,2026-01-01 00:15:00,US,ios,high_intent,0,3.0,0.0,0.0,1027.69
3,exp_onboarding_checklist_001,control,2026-01-01 00:30:00,0.06395217731345021,2026-01-01 00:30:00,IN,web,low_intent,0,3.0,0.0,0.0,927.9100000000001
4,exp_onboarding_checklist_001,control,2026-01-01 00:45:00,0.08712718525250195,2026-01-01 00:45:00,UK,web,low_intent,0,1.0,0.0,0.0,793.2
5,exp_onboarding_checklist_001,control,2026-01-01 01:00:00,0.10864069516928519,2026-01-01 01:00:00,US,ios,medium_intent,0,1.0,0.0,0.0,601.0
6,exp_onboarding_checklist_001,treatment,2026-01-01 01:15:00,0.8160885035841725,2026-01-01 01:15:00,BR,web,low_intent,0,1.0,0.0,0.0,538.2
7,exp_onboarding_checklist_001,control,2026-01-01 01:30:00,0.12124322317349154,2026-01-01 01:30:00,IN,ios,medium_intent,1,4.0,0.0,0.0,1001.04
8,exp_onboarding_checklist_001,control,2026-01-01 01:45:00,0.4587207068932671,2026-01-01 01:45:00,IN,android,medium_intent,0,2.0,0.0,0.0,632.145
9,exp_onboarding_checklist_001,treatment,2026-01-01 02:00:00,0.5841047691209388,2026-01-01 02:00:00,US,web,medium_intent,0,1.0,0.0,0.0,778.4
10,exp_onboarding_checklist_001,treatment,2026-01-01 02:15:00,0.9066138665209155,2026-01-01 02:15:00,US,ios,low_intent,0,0.0,0.0,0.0,
11,exp_onboarding_checklist_001,control,2026-01-01 02:30:00,0.23618695022934483,2026-01-01 02:30:00,US,ios,low_intent,0,0.0,0.0,0.0,
12,exp_onboarding_checklist_001,treatment,2026-01-01 02:45:00,0.8958497716572792,2026-01-01 02:45:00,BR,ios,high_intent,0,5.0,0.0,0.0,1281.1399999999999
13,exp_onboarding_checklist_001,control,2026-01-01 03:00:00,0.09540466073600261,2026-01-01 03:00:00,UK,web,low_intent,0,1.0,0.0,0.0,1251.9
14,exp_onboarding_checklist_001,control,2026-01-01 03:15:00,0.10777120821097529,2026-01-01 03:15:00,IN,web,medium_intent,0,2.0,0.0,0.0,1113.455
15,exp_onboarding_checklist_001,treatment,2026-01-01 03:30:00,0.6472873314835467,2026-01-01 03:30:00,US,android,low_intent,0,1.0,0.0,0.0,944.1
16,exp_onboarding_checklist_001,treatment,2026-01-01 03:45:00,0.9654693987252819,2026-01-01 03:45:00,US,web,low_intent,0,3.0,0.0,0.0,762.61
17,exp_onboarding_checklist_001,control,2026-01-01 04:00:00,0.18400438908144726,2026-01-01 04:00:00,UK,ios,low_intent,0,0.0,0.0,0.0,
18,exp_onboarding_checklist_001,control,2026-01-01 04:15:00,0.15412858784496555,2026-01-01 04:15:00,US,ios,low_intent,0,2.0,0.0,0.0,996.325
19,exp_onboarding_checklist_001,control,2026-01-01 04:30:00,0.4027034600227207,2026-01-01 04:30:00,IN,web,medium_intent,1,3.0,0.0,0.0,1562.93
20,exp_onboarding_checklist_001,treatment,2026-01-01 04:45:00,0.9811165784226895,2026-01-01 04:45:00,UK,ios,medium_intent,0,4.0,0.0,0.0,1300.5349999999999
21,exp_onboarding_checklist_001,treatment,2026-01-01 05:00:00,0.5548331820554694,2026-01-01 05:00:00,IN,web,high_intent,1,5.0,0.0,0.0,1224.9199999999998
22,exp_onboarding_checklist_001,treatment,2026-01-01 05:15:00,0.8275390652208215,2026-01-01 05:15:00,US,web,high_intent,0,5.0,0.0,0.0,1248.58
23,exp_onboarding_checklist_001,control,2026-01-01 05:30:00,0.3502280168436636,2026-01-01 05:30:00,BR,ios,low_intent,0,1.0,0.0,0.0,969.1
24,exp_onboarding_checklist_001,treatment,2026-01-01 05:45:00,0.7804790917412576,2026-01-01 05:45:00,IN,android,low_intent,1,1.0,0.0,0.0,734.4
25,exp_onboarding_checklist_001,treatment,2026-01-01 06:00:00,0.8634956875824852,2026-01-01 06:00:00,IN,web,high_intent,1,3.0,0.0,0.0,1091.6000000000001
26,exp_onboarding_checklist_001,control,2026-01-01 06:15:00,0.3709652048448884,2026-01-01 06:15:00,US,web,low_intent,1,2.0,0.0,0.0,671.825
27,exp_onboarding_checklist_001,control,2026-01-01 06:30:00,0.028745675399498117,2026-01-01 06:30:00,US,android,low_intent,0,0.0,0.0,0.0,
28,exp_onboarding_checklist_001,control,2026-01-01 06:45:00,0.4679655942493433,2026-01-01 06:45:00,US,web,low_intent,0,3.0,0.0,0.0,1198.91
29,exp_onboarding_checklist_001,control,2026-01-01 07:00:00,0.05583629705069075,2026-01-01 07:00:00,US,android,medium_intent,0,2.0,0.0,0.0,940.3199999999999
30,exp_onboarding_checklist_001,control,2026-01-01 07:15:00,0.38482634269125987,2026-01-01 07:15:00,UK,ios,low_intent,0,2.0,0.0,0.0,912.01
31,exp_onboarding_checklist_001,control,2026-01-01 07:30:00,0.29182230111759994,2026-01-01 07:30:00,IN,ios,low_intent,0,0.0,0.0,0.0,
32,exp_onboarding_checklist_001,treatment,2026-01-01 07:45:00,0.6188078916861356,2026-01-01 07:45:00,BR,ios,medium_intent,0,1.0,0.0,0.0,1133.9
33,exp_onboarding_checklist_001,treatment,2026-01-01 08:00:00,0.9212362814683921,2026-01-01 08:00:00,US,ios,medium_intent,0,1.0,0.0,0.0,764.1
34,exp_onboarding_checklist_001,treatment,2026-01-01 08:15:00,0.8483797019631256,2026-01-01 08:15:00,US,web,low_intent,0,2.0,0.0,0.0,1075.69
35,exp_onboarding_checklist_001,treatment,2026-01-01 08:30:00,0.8999815403442902,2026-01-01 08:30:00,US,android,medium_intent,1,1.0,0.0,0.0,964.6
36,exp_onboarding_checklist_001,treatment,2026-01-01 08:45:00,0.844387154056163,2026-01-01 08:45:00,US,android,low_intent,0,1.0,0.0,0.0,693.4
37,exp_onboarding_checklist_001,treatment,2026-01-01 09:00:00,0.653080376557564,2026-01-01 09:00:00,US,android,low_intent,0,0.0,0.0,0.0,
38,exp_onboarding_checklist_001,treatment,2026-01-01 09:15:00,0.7208253967913055,2026-01-01 09:15:00,US,ios,low_intent,0,2.0,0.0,0.0,1370.455
39,exp_onboarding_checklist_001,control,2026-01-01 09:30:00,0.17025937827930931,2026-01-01 09:30:00,US,ios,low_intent,0,3.0,0.0,0.0,1071.1100000000001
40,exp_onboarding_checklist_001,control,2026-01-01 09:45:00,0.4466027850010231,2026-01-01 09:45:00,UK,ios,low_intent,1,4.0,0.0,0.0,765.77
41,exp_onboarding_checklist_001,treatment,2026-01-01 10:00:00,0.5113297776892411,2026-01-01 10:00:00,US,web,high_intent,0,1.0,0.0,0.0,1034.5
42,exp_onboarding_checklist_001,treatment,2026-01-01 10:15:00,0.9270947753515781,2026-01-01 10:15:00,IN,ios,low_intent,0,3.0,0.0,0.0,1213.1799999999998
43,exp_onboarding_checklist_001,treatment,2026-01-01 10:30:00,0.6921067227006269,2026-01-01 10:30:00,IN,ios,high_intent,0,3.0,0.0,0.0,1022.29
44,exp_onboarding_checklist_001,treatment,2026-01-01 10:45:00,0.673676044232472,2026-01-01 10:45:00,US,ios,low_intent,0,1.0,0.0,0.0,979.9
45,exp_onboarding_checklist_001,control,2026-01-01 11:00:00,0.3466436314627928,2026-01-01 11:00:00,IN,ios,low_intent,0,3.0,0.0,0.0,561.0799999999999
46,exp_onboarding_checklist_001,control,2026-01-01 11:15:00,0.10151478427863939,2026-01-01 11:15:00,IN,ios,medium_intent,1,5.0,1.0,0.0,1017.24
47,exp_onboarding_checklist_001,control,2026-01-01 11:30:00,0.38239023060479904,2026-01-01 11:30:00,US,ios,medium_intent,0,3.0,0.0,0.0,1046.97
48,exp_onboarding_checklist_001,treatment,2026-01-01 11:45:00,0.6295200685547072,2026-01-01 11:45:00,US,ios,low_intent,0,0.0,0.0,0.0,
49,exp_onboarding_checklist_001,control,2026-01-01 12:00:00,0.2898110848526855,2026-01-01 12:00:00,UK,android,low_intent,0,0.0,0.0,0.0,
50,exp_onboarding_checklist_001,control,2026-01-01 12:15:00,0.09174939001107686,2026-01-01 12:15:00,US,ios,medium_intent,1,2.0,0.0,0.0,1331.98
51,exp_onboarding_checklist_001,treatment,2026-01-01 12:30:00,0.6884930179303709,2026-01-01 12:30:00,US,web,low_intent,0,2.0,0.0,0.0,1220.175
52,exp_onboarding_checklist_001,treatment,2026-01-01 12:45:00,0.7032397621029651,2026-01-01 12:45:00,US,web,medium_intent,0,4.0,0.0,0.0,968.665
53,exp_onboarding_checklist_001,control,2026-01-01 13:00:00,0.3262004365959131,2026-01-01 13:00:00,IN,ios,medium_intent,0,0.0,0.0,0.0,
54,exp_onboarding_checklist_001,treatment,2026-01-01 13:15:00,0.8766480388183701,2026-01-01 13:15:00,UK,ios,low_intent,0,1.0,0.0,0.0,779.7
55,exp_onboarding_checklist_001,control,2026-01-01 13:30:00,0.2456782613906757,2026-01-01 13:30:00,IN,android,medium_intent,0,4.0,0.0,0.0,1208.2849999999999
56,exp_onboarding_checklist_001,treatment,2026-01-01 13:45:00,0.5101324492396229,2026-01-01 13:45:00,IN,web,low_intent,0,3.0,0.0,0.0,1093.98
57,exp_onboarding_checklist_001,treatment,2026-01-01 14:00:00,0.5937189498793767,2026-01-01 14:00:00,US,web,high_intent,0,0.0,0.0,0.0,
58,exp_onboarding_checklist_001,control,2026-01-01 14:15:00,0.3806281713971388,2026-01-01 14:15:00,UK,ios,high_intent,1,2.0,0.0,0.0,1122.295
59,exp_onboarding_checklist_001,control,2026-01-01 14:30:00,0.3673652828432527,2026-01-01 14:30:00,US,ios,medium_intent,1,3.0,0.0,0.0,999.94
60,exp_onboarding_checklist_001,treatment,2026-01-01 14:45:00,0.5712195780545555,2026-01-01 14:45:00,US,android,high_intent,0,2.0,0.0,0.0,1164.0900000000001
61,exp_onboarding_checklist_001,control,2026-01-01 15:00:00,0.27707225946827363,2026-01-01 15:00:00,UK,android,medium_intent,0,3.0,0.0,0.0,1044.93
62,exp_onboarding_checklist_001,treatment,2026-01-01 15:15:00,0.8484459947753473,2026-01-01 15:15:00,US,ios,low_intent,0,1.0,0.0,0.0,609.4
63,exp_onboarding_checklist_001,treatment,2026-01-01 15:30:00,0.8069884481571292,2026-01-01 15:30:00,UK,android,low_intent,0,2.0,0.0,0.0,895.735
64,exp_onboarding_checklist_001,control,2026-01-01 15:45:00,0.4190441176526379,2026-01-01 15:45:00,IN,web,low_intent,1,2.0,0.0,0.0,936.8199999999999
65,exp_onboarding_checklist_001,control,2026-01-01 16:00:00,0.4407895219451301,2026-01-01 16:00:00,UK,ios,low_intent,0,3.0,0.0,0.0,1322.9099999999999
66,exp_onboarding_checklist_001,treatment,2026-01-01 16:15:00,0.7750917260427563,2026-01-01 16:15:00,UK,android,medium_intent,0,0.0,0.0,0.0,
67,exp_onboarding_checklist_001,treatment,2026-01-01 16:30:00,0.7260262209775019,2026-01-01 16:30:00,UK,ios,low_intent,0,1.0,0.0,0.0,1260.6
68,exp_onboarding_checklist_001,treatment,2026-01-01 16:45:00,0.6409253150743011,2026-01-01 16:45:00,US,android,medium_intent,0,1.0,0.0,0.0,1054.9
69,exp_onboarding_checklist_001,control,2026-01-01 17:00:00,0.369115537168552,2026-01-01 17:00:00,US,web,low_intent,0,3.0,0.0,0.0,1147.39
70,exp_onboarding_checklist_001,control,2026-01-01 17:15:00,0.2544142882754857,2026-01-01 17:15:00,US,web,low_intent,0,2.0,0.0,0.0,756.8000000000001
71,exp_onboarding_checklist_001,control,2026-01-01 17:30:00,0.007972173914344525,2026-01-01 17:30:00,US,ios,low_intent,0,1.0,0.0,0.0,929.6
72,exp_onboarding_checklist_001,treatment,2026-01-01 17:45:00,0.8847645179585358,2026-01-01 17:45:00,US,android,high_intent,0,2.0,0.0,10.0,996.6999999999999
73,exp_onboarding_checklist_001,treatment,2026-01-01 18:00:00,0.8307927145128299,2026-01-01 18:00:00,IN,ios,low_intent,0,2.0,0.0,0.0,925.37
74,exp_onboarding_checklist_001,treatment,2026-01-01 18:15:00,0.6601573570093272,2026-01-01 18:15:00,US,android,low_intent,0,3.0,0.0,0.0,1249.58
75,exp_onboarding_checklist_001,control,2026-01-01 18:30:00,0.13245457563612534,2026-01-01 18:30:00,US,web,low_intent,1,1.0,0.0,0.0,988.0
76,exp_onboarding_checklist_001,treatment,2026-01-01 18:45:00,0.5176718083268029,2026-01-01 18:45:00,US,ios,high_intent,0,4.0,0.0,0.0,1120.735
77,exp_onboarding_checklist_001,control,2026-01-01 19:00:00,0.053327254957556657,2026-01-01 19:00:00,US,ios,low_intent,0,1.0,0.0,0.0,523.2
78,exp_onboarding_checklist_001,treatment,2026-01-01 19:15:00,0.7585949823135053,2026-01-01 19:15:00,UK,web,medium_intent,1,0.0,0.0,0.0,
79,exp_onboarding_checklist_001,control,2026-01-01 19:30:00,0.056100589994689566,2026-01-01 19:30:00,UK,ios,low_intent,0,3.0,1.0,0.0,1057.7
80,exp_onboarding_checklist_001,treatment,2026-01-01 19:45:00,0.6444379455730406,2026-01-01 19:45:00,IN,ios,low_intent,0,0.0,0.0,0.0,
81,exp_onboarding_checklist_001,treatment,2026-01-01 20:00:00,0.7725343962011634,2026-01-01 20:00:00,UK,ios,medium_intent,0,2.0,0.0,0.0,714.275
82,exp_onboarding_checklist_001,treatment,2026-01-01 20:15:00,0.8380038677947,2026-01-01 20:15:00,US,web,medium_intent,1,0.0,0.0,0.0,
83,exp_onboarding_checklist_001,control,2026-01-01 20:30:00,0.4657552951451164,2026-01-01 20:30:00,IN,web,medium_intent,0,4.0,0.0,0.0,1257.1299999999999
84,exp_onboarding_checklist_001,treatment,2026-01-01 20:45:00,0.7635955800147961,2026-01-01 20:45:00,US,android,low_intent,0,4.0,0.0,0.0,1305.935
85,exp_onboarding_checklist_001,treatment,2026-01-01 21:00:00,0.7461811268052222,2026-01-01 21:00:00,US,ios,high_intent,0,3.0,1.0,0.0,1073.65
86,exp_onboarding_checklist_001,treatment,2026-01-01 21:15:00,0.8056043487176654,2026-01-01 21:15:00,US,android,medium_intent,1,6.0,0.0,0.0,1106.6750000000002
87,exp_onboarding_checklist_001,control,2026-01-01 21:30:00,0.04542500396687508,2026-01-01 21:30:00,IN,ios,high_intent,0,2.0,0.0,0.0,967.64
88,exp_onboarding_checklist_001,control,2026-01-01 21:45:00,0.4068928367682213,2026-01-01 21:45:00,US,android,low_intent,0,0.0,0.0,0.0,
89,exp_onboarding_checklist_001,treatment,2026-01-01 22:00:00,0.6818110830714774,2026-01-01 22:00:00,US,web,low_intent,0,3.0,0.0,0.0,1203.17
90,exp_onboarding_checklist_001,treatment,2026-01-01 22:15:00,0.7526484577146015,2026-01-01 22:15:00,UK,ios,low_intent,0,2.0,0.0,0.0,718.5
91,exp_onboarding_checklist_001,treatment,2026-01-01 22:30:00,0.9438924863665672,2026-01-01 22:30:00,US,ios,medium_intent,0,3.0,0.0,0.0,1224.09
92,exp_onboarding_checklist_001,treatment,2026-01-01 22:45:00,0.9152668300204023,2026-01-01 22:45:00,UK,web,medium_intent,0,1.0,0.0,0.0,945.3
93,exp_onboarding_checklist_001,control,2026-01-01 23:00:00,0.26233249234086276,2026-01-01 23:00:00,US,web,low_intent,0,0.0,0.0,0.0,
94,exp_onboarding_checklist_001,treatment,2026-01-01 23:15:00,0.9238766174116104,2026-01-01 23:15:00,US,ios,low_intent,1,2.0,0.0,0.0,586.4050000000001
95,exp_onboarding_checklist_001,treatment,2026-01-01 23:30:00,0.9994089866266787,2026-01-01 23:30:00,US,android,low_intent,0,0.0,0.0,0.0,
96,exp_onboarding_checklist_001,treatment,2026-01-01 23:45:00,0.7206436565262316,2026-01-01 23:45:00,UK,ios,low_intent,0,3.0,0.0,0.0,1280.33
97,exp_onboarding_checklist_001,treatment,2026-01-02 00:00:00,0.9099457239535309,2026-01-02 00:00:00,US,web,medium_intent,0,2.0,0.0,0.0,1079.795
98,exp_onboarding_checklist_001,control,2026-01-02 00:15:00,0.20165543202230635,2026-01-02 00:15:00,US,android,low_intent,0,2.0,0.0,0.0,969.585
99,exp_onboarding_checklist_001,control,2026-01-02 00:30:00,0.030711517470036646,2026-01-02 00:30:00,US,web,low_intent,0,1.0,0.0,0.0,1399.4
100,exp_onboarding_checklist_001,control,2026-01-02 00:45:00,0.3137397389991899,2026-01-02 00:45:00,BR,web,low_intent,0,5.0,0.0,0.0,1218.7399999999998
101,exp_onboarding_checklist_001,treatment,2026-01-02 01:00:00,0.9772370305167071,2026-01-02 01:00:00,BR,android,low_intent,0,1.0,0.0,0.0,508.2
102,exp_onboarding_checklist_001,control,2026-01-02 01:15:00,0.02785134624936082,2026-01-02 01:15:00,UK,ios,high_intent,0,2.0,0.0,0.0,857.39
103,exp_onboarding_checklist_001,control,2026-01-02 01:30:00,0.3929506245323339,2026-01-02 01:30:00,US,android,low_intent,0,2.0,0.0,0.0,1142.8500000000001
104,exp_onboarding_checklist_001,control,2026-01-02 01:45:00,0.2549469661770824,2026-01-02 01:45:00,BR,android,high_intent,0,6.0,0.0,0.0,1191.2250000000001
105,exp_onboarding_checklist_001,control,2026-01-02 02:00:00,0.1610254472227802,2026-01-02 02:00:00,IN,ios,medium_intent,0,0.0,0.0,0.0,
106,exp_onboarding_checklist_001,treatment,2026-01-02 02:15:00,0.5570815092571982,2026-01-02 02:15:00,IN,web,medium_intent,0,2.0,0.0,0.0,1127.37
107,exp_onboarding_checklist_001,control,2026-01-02 02:30:00,0.08118890783055022,2026-01-02 02:30:00,US,ios,low_intent,0,2.0,0.0,0.0,1075.5500000000002
108,exp_onboarding_checklist_001,control,2026-01-02 02:45:00,0.251635599011156,2026-01-02 02:45:00,US,android,medium_intent,0,2.0,0.0,0.0,880.5
109,exp_onboarding_checklist_001,control,2026-01-02 03:00:00,0.37956126826052483,2026-01-02 03:00:00,US,android,medium_intent,0,0.0,0.0,0.0,
110,exp_onboarding_checklist_001,treatment,2026-01-02 03:15:00,0.7348839579980883,2026-01-02 03:15:00,BR,ios,low_intent,0,2.0,0.0,0.0,766.255
111,exp_onboarding_checklist_001,control,2026-01-02 03:30:00,0.08188922886204433,2026-01-02 03:30:00,US,ios,high_intent,0,3.0,0.0,0.0,925.08
112,exp_onboarding_checklist_001,treatment,2026-01-02 03:45:00,0.8309501878749903,2026-01-02 03:45:00,US,web,low_intent,0,0.0,0.0,0.0,
113,exp_onboarding_checklist_001,control,2026-01-02 04:00:00,0.15385788571190445,2026-01-02 04:00:00,US,ios,low_intent,1,0.0,0.0,0.0,
114,exp_onboarding_checklist_001,treatment,2026-01-02 04:15:00,0.7372990142803139,2026-01-02 04:15:00,UK,android,low_intent,0,4.0,0.0,0.0,1035.52
115,exp_onboarding_checklist_001,treatment,2026-01-02 04:30:00,0.7551193612678212,2026-01-02 04:30:00,US,web,medium_intent,0,3.0,0.0,0.0,1264.4099999999999
116,exp_onboarding_checklist_001,control,2026-01-02 04:45:00,0.05544359043104136,2026-01-02 04:45:00,IN,ios,low_intent,0,2.0,0.0,0.0,1132.98
117,exp_onboarding_checklist_001,control,2026-01-02 05:00:00,0.3896751867884822,2026-01-02 05:00:00,IN,android,low_intent,0,1.0,0.0,0.0,863.0
118,exp_onboarding_checklist_001,control,2026-01-02 05:15:00,0.4863639403168508,2026-01-02 05:15:00,IN,ios,low_intent,0,2.0,0.0,0.0,1136.4950000000001
